,Present-day country/territory,Lat,Long,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths
1176,China,39.515,77.204,14,6.3,,261.0,261.0,,268,
1251,China,46.884,125.030,43.3,5.0,,1.0,1.0,,,
1096,China,25.549,101.118,13.6,5.5,,,,,7,
1317,China,26.0,101.9,10,5.7,,,,,,41
1131,China,27.619,100.901,2.1,5.4,,2.0,2.0,2.0,2,
1334,China,,,,5.4,,,,,,
1113,China,25.726,102.240,5.4,4.9,,1.0,1.0,1.0,1,
1308,China,31.002,103.322,19,7.9,L,69195.0,88287.0,,87476,
1097,China,25.567,101.071,24.9,5.9,,7.0,7.0,7.0,,
1127,China,29.459,101.079,7,5.6,,3.0,3.0,3.0,3,
1098,China,24.148,103.654,35,4.9,,0.0,0.0,,1,
1310,China,32.560,105.423,18,6.1,L,8.0,8.0,,,
1130,China,24.806,99.051,10.1,5.6,L,2.0,2.0,2.0,2,
1139,China,26.289,100.586,5.8,5.5,,1.0,1.0,1.0,1,
1286,China,23.020,101.010,5,6.1,L,3.0,3.0,,3,
1314,China,32.761,105.554,10,4.8,,2.0,2.0,,,
1116,Colombia,7.091,-77.811,17,6.5,,0.0,0.0,,2,
1309,Colombia,4.330,-73.764,8,5.9,L,0.0,6.0,,,
1304,Congo,-2.296,28.900,10,5.9,,44.0,44.0,,43,
1143,Congo,-1.770,28.996,11.6,5.1,,,,,45,
1166,Congo,-1.962,29.013,11,6.2,,2.0,2.0,2.0,,
1321,Costa Rica,10.3962,-84.0281,48,6.1,L,,,,,34
1234,Costa Rica,9.623,-84.165,16,6.4,L,8.0,8.0,,8,
1344,Croatia,45.4002,16.2187,10,6.4,,,,,,7
1194,Dominican Republic,19.766,-70.693,14,6.4,L,1.0,3.0,1.0,3,
1114,Ecuador,-1.946,-80.522,40,5.5,,1.0,1.0,1.0,,
1125,El Salvador,13.600,-89.001,11,6.6,L,315.0,315.0,315.0,315,
1126,El Salvador,13.787,-89.106,10,5.1,L,1.0,1.0,1.0,,
1123,El Salvador,13.076,-88.702,38,7.6,L,267.0,852.0,852.0,844,
1133,France,49.147,6.870,1,4.2,,0.0,1.0,1.0,,
1158,Georgia,41.767,44.857,34.8,4.8,L,5.0,5.0,5.0,6,
1312,Greece,37.963,21.525,16,6.4,,2.0,2.0,,2,
1348,Greece,,,,7.0,,,,,,
1145,Greece,35.624,26.645,88,6.2,,0.0,1.0,,,
1315,Greece,35.983,27.785,68,6.4,,,,,,
1235,Guadeloupe,15.679,-61.724,14,6.3,,1.0,1.0,,1,
1173,Guatemala,13.623,-90.850,24,6.4,,0.0,1.0,,,
1328,Haiti,18.457,-72.533,13,7.0,,,,,,222517[17]
1295,India,21.181,70.724,10,5.1,,1.0,1.0,,,
1262,India,30.460,79.201,35.5,5.1,L,1.0,1.0,,,
1305,India,23.433,87.111,10,4.3,,1.0,1.0,,,
1164,India,13.013,93.093,15,6.5,T,2.0,2.0,2.0,2,
1263,India,27.382,88.388,30,5.3,L,0.0,2.0,,,
1338,India,27.723,88.064,19.7,6.9,L,,,,,111+
1124,India,23.402,70.287,23.3,7.6,,20023.0,20023.0,20023.0,20005,
1233,Indonesia,-8.166,124.764,13,7.5,L,34.0,34.0,,33,
1307,Indonesia,2.768,95.964,26,7.3,,3.0,3.0,,3,
1231,Indonesia,-8.784,115.325,96.7,5.3,,1.0,1.0,,,
1236,Indonesia,-3.615,135.450,24,7.1,F,32.0,32.0,,32,
1279,Indonesia,0.626,99.859,30,5.8,L,7.0,7.0,,,
1238,Indonesia,3.287,95.972,30,9.1,"T,L",,297200.0,,,231000*[13] 283000*[14] 227898*[15]
1273,Indonesia,-9.254,107.411,34,7.7,T,0.0,730.0,,,
1281,Indonesia,1.065,126.282,22,7.5,,3.0,4.0,,,
1282,Indonesia,-0.480,100.470,19.3,6.4,,67.0,67.0,,67,
1271,Indonesia,-7.961,110.446,12,6.4,,5749.0,5749.0,,,
1266,Indonesia,-3.595,127.214,30,6.7,"T,L",0.0,4.0,,4,
1291,Indonesia,-4.440,101.370,34,8.5,T,25.0,25.0,,,
1237,Indonesia,-3.689,135.604,7.2,5.5,,1.0,1.0,,,
1292,Indonesia,-2.660,100.830,37.3,7.9,,,,,,
1278,Indonesia,-8.251,118.777,43,6.3,,0.0,1.0,,,
1246,Indonesia,2.069,97.097,22,8.6,T,1303.0,1313.0,,915,
1241,Indonesia,-7.004,107.816,57.2,4.8,,1.0,1.0,,,
1298,Indonesia,-8.292,118.370,20,6.5,,3.0,3.0,,,
1303,Indonesia,1.011,97.442,20,6.2,,1.0,1.0,,,
1239,Indonesia,-1.196,119.910,38.1,6.2,,1.0,1.0,,1,
1293,Indonesia,-2.150,99.610,27,7.1,,,,,,
1325,Indonesia,,,,7.0,,,,,,79
1327,Indonesia,,,,7.6,,,,,,1115
1105,Indonesia,-4.151,101.953,47,5.5,,,,,1,
1342,Indonesia,0.178,119.840,20.0,7.5,"T,Lq",,,,,4340+
1169,Indonesia,2.837,96.088,30,7.2,,3.0,3.0,3.0,3,
1165,Indonesia,-1.700,134.230,16,7.5,"T,L,Lq",8.0,8.0,8.0,8,
1184,Indonesia,2.349,128.879,31,6.9,,1.0,1.0,1.0,1,
1100,Indonesia,-1.140,123.522,26,7.5,T,46.0,46.0,46.0,45,
1207,Indonesia,-8.349,115.758,45.4,5.8,,1.0,1.0,,1,
1104,Indonesia,-4.760,102.031,33.8,7.9,L,103.0,103.0,103.0,103,
1211,Indonesia,-0.516,100.548,12.7,5.0,,5.0,5.0,,5,
1341,Indonesia,,,31.0,6.9,,,,,,
1107,Indonesia,-4.651,101.848,32,6.7,,1.0,1.0,1.0,,
1178,Indonesia,-8.339,120.606,34,6.4,,0.0,4.0,4.0,,
1208,Indonesia,-3.661,135.597,23,7.0,F,37.0,37.0,,37,
1243,Iran,30.691,56.794,7,6.4,,612.0,612.0,,612,
1247,Iran,33.655,48.669,27.1,4.9,,4.0,4.0,,,
